topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,republish_annually,notes
ACA-401k-withdrawal-subsidy-loss,401(k) Withdrawal Pushed Income Over ACA Subsidy Threshold: What Now,15,,210,,none,low,n,3,"kff-subsidy,competitor-landscape",n,n,n,
ACA-cost-sharing-lost,Lost Cost-Sharing Reductions on Your ACA Plan: What Changes for 2026,10,,260,,slight,low,n,3,"kff-csr,healthcare.gov",n,n,n,
marketplace-SEP-60-day-window,Marketplace SEP 60-Day Window 2026: When the Clock Starts for Each Trigger,60,,720,,slight,low,n,1,"healthcare.gov,cms",n,n,n,
sep-coverage-start-date,When SEP Coverage Starts 2026: First-of-Month vs Birth Rules,,,,,none,low,n,2,"healthcare.gov,cms",n,n,n,
sep-denied-appeal,SEP Denied 2026? Appeal Process and Marketplace Backup,,,,,none,low,n,2,"healthcare.gov-appeals,cms",n,n,n,
documents-needed-sep,Documents You Need for Special Enrollment 2026: Full Checklist,,,,,none,low,n,1,"healthcare.gov-dmi,healthinsurance.org-norris",n,n,n,
SEP-immigration-status-change,SEP for Gaining U.S. Citizenship or Lawful Status: Health Coverage Options 2026,70,,720,,none,low,n,2,"cms-sep-job-aid,healthcare.gov",n,n,n,
gained-citizenship-health-insurance,Gaining U.S. Citizenship: How to Enroll in Health Coverage in 2026,65,,480,,none,low,n,2,"cms-sep,healthcare.gov,uscis",n,n,n,
green-card-5-year-bar,Just Got Green Card 2026? Health Insurance 5-Year Bar Explained,,,,,slight,low,n,1,"nilc,kff,healthcare.gov",n,n,n,
daca-coverage-2026,DACA Recipient Health Insurance 2026: Final Rule Status,,,,,slight,low,n,1,"healthcare.gov,nilc,kff",n,n,n,
asylum-refugee-coverage,Asylee or Refugee Health Insurance Options 2026,,,,,none,low,n,3,"orr,nilc,hhs",n,n,n,
released-from-incarceration,Released From Incarceration: Health Insurance Enrollment Options 2026,70,,720,,none,low,n,2,"cms-sep,kff,medicaid-reentry,aclu",n,n,n,
SEP-just-released-jail-state-medicaid,Just Released From Jail With State Medicaid Reentry Program 2026,5,,90,,none,low,y,3,"kff-reentry,medicaid.gov,state-reentry",n,n,n,
incarceration-entering-medicaid,Entering Jail or Prison 2026: What Happens to Your Medicaid,,,,,none,low,y,3,"cms,kff",n,n,n,
homeless-coverage,Experiencing Homelessness 2026? Medicaid + ACA Access Path,,,,,slight,low,y,3,"hud,nhchc,kff",n,n,n,
SEP-survivor-domestic-abuse,SEP for Survivors of Domestic Abuse: Enroll in Your Own Health Plan in 2026,40,,260,,none,low,n,2,"healthcare.gov-sep-list,cms-job-aid,ndvh",n,n,n,
SEP-tribal-membership,Tribal Membership SEP: Year-Round Marketplace Enrollment for American Indian Alaska Native,15,,210,,none,low,n,2,"healthcare.gov-tribal-sep,ihs.gov",n,n,n,"CMS canonical SEP - B missed this; A had it"
SEP-natural-disaster-2026,SEP for Natural Disaster Victims: How to Enroll After Hurricanes Wildfires Floods 2026,35,,320,,none,low,y,1,"cms-disaster-sep,fema",n,n,y,"republish each May before hurricane season"
home-state-disaster-2026,FEMA Major Disaster Declaration 2026? SEP + Medicaid Disaster Path,,,,,none,low,y,2,"fema,cms-1135-waiver,kff",n,n,y,
SEP-error-or-misconduct,SEP for Marketplace Enrollment Error or Plan Display Error: 2026 Appeals Process,35,,260,,none,low,n,3,"cms-sep-complex-issues,healthcare.gov-sep-list",n,n,n,
SEP-application-error-eligibility-decision,New Marketplace SEP After Application Error or Eligibility Decision in 2026,15,,170,,none,low,n,3,"healthcare.gov-sep-complex,cms",n,n,n,
SEP-fraud-misrepresentation,SEP for Fraud or Misrepresentation by Insurance Agent: 2026 Marketplace Appeals,5,,90,,none,low,n,3,"healthcare.gov-sep-complex,cms",n,n,n,
SEP-leaving-AmeriCorps-PeaceCorps,Leaving AmeriCorps or Peace Corps: Health Coverage SEP Options 2026,5,,90,,none,low,n,2,"healthcare.gov-sep,americorps",n,n,n,"CMS canonical SEP - B missed this; A had it"
exceptional-circumstance-sep,Exceptional Circumstance SEP 2026: When You Qualify Outside Standard Triggers,,,,,none,low,n,2,"healthcare.gov,healthinsurance.org-norris,kff",n,n,n,
just-released-from-hospital,Just Released From the Hospital With No Coverage: Emergency Marketplace Options 2026,10,,170,,slight,low,n,3,"healthcare.gov-sep-complex-issues,cms",n,n,n,
small-business-lost-coverage,Small Business Closed or Stopped Offering Coverage: Your Marketplace Options 2026,25,,210,,none,low,n,3,"shop-marketplace,cms-sep",n,n,n,
short-term-plan-ending,Short-Term Health Plan Ending? Transitioning to ACA 2026,,,,,none,low,n,2,"healthcare.gov,kff,healthinsurance.org-norris",n,n,n,
sharing-ministry-ending,Health Sharing Ministry Ending? ACA Backup Path 2026,,,,,none,low,n,3,"kff,healthinsurance.org-norris,verywell",n,n,n,
medi-share-to-aca-2026,Christian Health Sharing to ACA in 2026: Why People Are Switching,,,,,none,low,n,3,"kff,healthinsurance.org-norris,verywell",n,n,n,
domestic-partner-add-insurance,Adding a Domestic Partner to Your Health Insurance in 2026,95,,1300,,none,low,y,2,"healthcare.gov-sep-list,carrier-policies",n,n,n,"state-fork-leaning per critique §9 adjudication"
domestic-partner-ending-relationship,Domestic Partnership Ended: SEP and Re-Enrollment Steps in 2026,5,,90,,none,low,n,3,"healthcare.gov-sep,carrier-policies",n,n,n,
spouse-lost-employer-add-to-yours,Spouse Lost Employer Coverage 2026: Adding Them to Your Plan via SEP,5,,210,,slight,low,n,2,"healthcare.gov-sep,erisa",n,n,n,
spouse-deployed-military-coverage,Spouse Deployed 2026: How Military Deployment Affects Your Health Insurance,10,,170,,none,low,n,3,"tricare.mil,moaa",n,n,n,
leaving-military,Leaving Military Service 2026? Health Insurance After TRICARE,,,,,none,low,n,1,"tricare,va,dol",n,n,n,
tricare-to-aca,TRICARE Ending 2026? Bridging to ACA Marketplace,,,,,none,low,n,2,"tricare,healthcare.gov,moaa",n,n,n,
tricare-young-adult-age-up,Turning 21 or 23 on TRICARE? Young Adult Age-Up Coverage Cliff 2026,30,,260,,none,low,n,1,"tricare-young-adult-tya,moaa",n,n,n,"MANDATORY ADD per critique §8; military-persona-event"
veteran-leaving-VA,Leaving VA Health Care 2026: Marketplace and Medicare Options for Veterans,25,,260,,slight,low,n,3,"va.gov,medicare.gov",n,n,n,
just-lost-VA-eligibility,Lost VA Health Eligibility 2026: How to Enroll in Marketplace or Medicare,10,,170,,none,low,n,3,"va.gov,competitor-landscape",n,n,n,
veteran-turning-65,Veteran Turning 65 2026? VA Plus Medicare Together,,,,,none,low,n,2,"va.gov,medicare.gov",n,n,n,
spouse-on-medicare-you-not,Your Spouse Just Enrolled in Medicare But You're Not 65: Coverage Options 2026,5,,170,,slight,low,n,1,"medicare.gov,healthcare.gov,kff",n,n,n,
just-aged-out-medicare-cost-help,Aged Out of Cost Help (LIS Extra Help) on Medicare: Re-Apply in 2026,5,,170,,slight,low,n,3,"medicare.gov-extra-help,ssa",n,n,n,
medicare-disenrollment-period,Medicare Disenrollment Period (Jan-Feb) 2026: Switching Back to Original,,,,,none,low,n,3,"medicare.gov,medicarefaq",n,n,n,
fpl-update-2026-january,2026 Federal Poverty Level Update: Who Just Became Subsidy-Eligible,,,,,none,low,n,2,"hhs,kff,healthinsurance.org-norris",n,n,y,"borderline policy-event but timely & subsidy-tied; kept at priority 2; republish each February"
empty-nest-downgrade,Empty Nest 2026? Adjusting Family Health Coverage,,,,,none,low,n,3,"healthcare.gov,nerdwallet,healthinsurance.org-norris",n,n,n,
kids-leaving-home,Kids Leaving Home 2026? Adjusting Family Health Coverage,,,,,none,low,n,3,"healthcare.gov,nerdwallet",n,n,n,
emancipated-minor,Emancipated Minor 2026? Health Insurance Without Parents,,,,,none,low,y,3,"healthcare.gov,acf",n,n,n,
SEP-young-adult-leaving-foster,Aging Out of Foster Care at 18: Medicaid and Marketplace Options Through Age 26,10,,170,,slight,low,n,3,"medicaid-foster-care-policy,bring-up-children",n,n,n,
