topic,title_hint,priority_index,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,notes
flu-vaccine-cost,Flu Vaccine Cost in 2026: Where to Get It Free,180,N/A,8100,N/A,slight,medium,n,2,bing|cdc,n,n,BUSA free-immunization slight
rsv-vaccine-cost,"RSV Vaccine Cost in 2026: Abrysvo, Arexvy and mRESVIA Coverage",220,N/A,3600,N/A,none,medium,n,2,bing|cdc|cms,n,n,Adult vaccines $0 Medicare Part D
covid-vaccine-cost,COVID Vaccine Cost in 2026: Commercialization Pricing and Coverage,240,N/A,5400,N/A,slight,medium,n,2,bing|cdc,n,n,Post-PHE commercialization
botox-cost,Botox Cost in 2026: Medical vs Cosmetic and Insurance Coverage,260,N/A,12100,N/A,none,medium,n,2,bing|goodrx-catalog,n,n,Medical vs cosmetic coverage
epipen-cost,EpiPen Cost in 2026: Generic Epinephrine Pricing,180,N/A,5400,N/A,none,high,n,1,bing|clincalc|goodrx-catalog,n,n,Generic available
auvi-q-cost,Auvi-Q Cost in 2026: $0 Direct Program EpiPen Alternative,120,N/A,720,N/A,none,low,n,2,bing|manufacturer-site,n,n,EpiPen alternative
adipex-cost,Adipex Phentermine Cost in 2026: Weight Loss Generic Pricing,140,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Old weight-loss generic
estradiol-cost,Estradiol Cost in 2026: HRT Pricing and Patch vs Pill,180,N/A,3600,N/A,none,low,n,3,bing|goodrx-catalog,n,n,HRT
testosterone-replacement-cost,Testosterone Replacement Therapy Cost in 2026: Coverage and Self-Pay,260,N/A,8100,N/A,none,medium,n,2,bing|goodrx-catalog,n,n,TRT
finasteride-cost,Finasteride Cost in 2026: Generic Propecia Hair Loss Pricing,180,N/A,4400,N/A,none,medium,n,2,bing|goodrx-catalog,n,n,Hair loss
sildenafil-cost,Sildenafil Cost in 2026: Generic Viagra Pricing,260,N/A,9900,N/A,none,high,n,3,bing|goodrx-catalog,n,n,Generic Viagra
tadalafil-cost,Tadalafil Cost in 2026: Generic Cialis Pricing,220,N/A,8100,N/A,none,high,n,3,bing|goodrx-catalog,n,n,Generic Cialis
viagra-cost,Viagra Cost in 2026: Brand Sildenafil Pricing and Generic Comparison,180,N/A,5400,N/A,none,medium,n,2,bing|goodrx-catalog,n,n,Brand companion
cialis-cost,Cialis Cost in 2026: Brand Tadalafil Pricing and Generic Comparison,170,N/A,4400,N/A,none,medium,n,2,bing|goodrx-catalog,n,n,Brand companion
iud-cost,Mirena and Paragard IUD Cost in 2026: Insurance and Cash Pricing,180,N/A,4400,N/A,slight,medium,n,2,bing|goodrx-catalog|manufacturer-site,n,n,Contraceptive — ACA $0 coverage
nexplanon-cost,Nexplanon Cost in 2026: Implant Insurance Coverage,140,N/A,1900,N/A,none,low,n,3,bing|manufacturer-site,n,n,Contraceptive
plan-b-cost,Plan B Cost in 2026: OTC Pricing and Generic Alternatives,160,N/A,2900,N/A,none,medium,n,3,bing|goodrx-catalog,n,n,OTC emergency contraceptive
leqembi-cost,Leqembi Cost in 2026: Alzheimer's Disease Treatment Pricing,160,N/A,1300,N/A,none,low,n,3,bing|cms|manufacturer-site,n,n,Part B with CED registry
kisunla-cost,Kisunla Cost in 2026: Donanemab Alzheimer's Pricing,140,N/A,720,N/A,none,low,n,3,bing|cms|manufacturer-site,n,n,Newer Alzheimer's drug
emgality-cost,Emgality Cost in 2026: Galcanezumab Migraine Prevention Pricing,180,N/A,2400,N/A,none,medium,n,3,bing|goodrx-catalog|manufacturer-site,n,n,CGRP migraine
qulipta-cost,Qulipta Cost in 2026: Atogepant Migraine Prevention Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,CGRP migraine
nurtec-cost,Nurtec ODT Cost in 2026: Rimegepant Migraine Treatment Pricing,180,N/A,2900,N/A,none,medium,n,3,bing|goodrx-catalog|manufacturer-site,n,n,CGRP migraine
ubrelvy-cost,Ubrelvy Cost in 2026: Ubrogepant Acute Migraine Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,Acute migraine
aimovig-cost,Aimovig Cost in 2026: Erenumab Migraine Prevention Pricing,150,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,CGRP migraine
ajovy-cost,Ajovy Cost in 2026: Fremanezumab Migraine Prevention Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,CGRP migraine
pradaxa-cost,Pradaxa Cost in 2026: Dabigatran Generic and DOAC Pricing,180,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,DOAC class
brilinta-cost,Brilinta Cost in 2026: AstraZeneca Antiplatelet Coverage,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,Antiplatelet
invokana-cost,Invokana Cost in 2026: Canagliflozin SGLT2 Pricing and Coverage,180,N/A,2400,N/A,none,medium,n,3,bing|goodrx-catalog,n,n,SGLT2 not IRA-negotiated
hydrocodone-acetaminophen-cost,Hydrocodone-Acetaminophen Cost in 2026: Vicodin Generic Pricing,80,N/A,1900,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Opioid combo
oxycodone-cost,Oxycodone Cost in 2026: OxyContin Generic Pricing,90,N/A,2400,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Opioid
zolgensma-cost,Zolgensma Cost in 2026: $2.1M SMA Gene Therapy Coverage,140,N/A,1900,N/A,none,low,n,2,bing|manufacturer-site|kff,n,n,Gene therapy — SMA
casgevy-sickle-cell-cost,Casgevy Cost in 2026: Sickle Cell Gene Therapy Coverage Rules,140,N/A,1300,N/A,none,low,n,2,bing|manufacturer-site|medicare-gov,n,n,Gene therapy — sickle cell
inflectra-cost,Inflectra Cost in 2026: Infliximab Biosimilar Pricing,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Remicade biosimilar
yuflyma-cost,Yuflyma Cost in 2026: Adalimumab Biosimilar Pricing,80,N/A,260,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Humira biosimilar
cyltezo-cost,Cyltezo Cost in 2026: Adalimumab Biosimilar and Interchangeable Status,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Humira biosimilar
amjevita-cost,Amjevita Cost in 2026: Adalimumab Biosimilar Pricing,90,N/A,320,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Humira biosimilar
hyrimoz-cost,Hyrimoz Cost in 2026: Adalimumab Biosimilar Pricing,80,N/A,260,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Humira biosimilar
wezlana-cost,Wezlana Cost in 2026: Ustekinumab Biosimilar Pricing,90,N/A,320,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Stelara biosimilar
zoryve-cost,Zoryve Cost in 2026: Roflumilast Topical Psoriasis and Eczema Pricing,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Topical non-steroidal
wegovy-without-insurance,Wegovy Without Insurance in 2026: Self-Pay and NovoCare Pricing,680,147,12100,71,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Distinct slug from wegovy-cost
mounjaro-without-insurance,Mounjaro Without Insurance in 2026: LillyDirect Self-Pay Pricing,540,37,8100,84,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,LillyDirect angle
zepbound-without-insurance,Zepbound Without Insurance in 2026: LillyDirect Vial Self-Pay,580,N/A,12100,142,none,medium,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,LillyDirect vial
glp1-without-insurance,How to Get GLP-1 Medications Without Insurance in 2026: Compounded and Direct,420,N/A,8100,N/A,none,high,n,1,bing|goodrx|manufacturer-direct,n,n,GLP-1 access pillar
medicare-extra-help-2026,Medicare Extra Help (LIS) in 2026: Who Qualifies and How to Apply,720,599,12100,N/A,slight,medium,n,2,bing|cms|content-inventory,n,n,BUSA spend-down article slight (re-routed from priority-1 per critique adjudication)
medicare-part-d-cap-2026,Medicare Part D $2100 Out-of-Pocket Cap 2026 Explained,520,N/A,8100,N/A,slight,medium,n,1,bing|cms|ira-2026|kff,n,n,IRA-driven 2026 anchor
medicare-drug-negotiation-2026,Medicare Drug Negotiation Maximum Fair Price 2026: 10 Drugs Explained,480,N/A,4400,N/A,none,medium,n,1,bing|cms|ira-2026|kff|medicare-rights,n,n,Pillar for IRA Round 1 — 10 drugs
medicare-drug-negotiation-2027,Medicare Drug Negotiation 2027: 15 New Drugs Including Ozempic and Wegovy,440,N/A,2900,N/A,none,medium,n,1,bing|cms|ira-2027|kff|aarp,n,n,IRA Round 2 pillar — 15 drugs effective 2027
ira-drug-negotiation-explained,Inflation Reduction Act Drug Price Negotiation Explained (2026),340,N/A,4400,N/A,none,medium,n,1,bing|cms|kff,n,n,IRA evergreen explainer
medicare-glp1-bridge-program-2026,Medicare GLP-1 Bridge Program 2026: $50 Wegovy and Zepbound Copay Explained,260,N/A,1300,N/A,none,low,n,1,bing|cms|medicare-rights,n,n,Bridge program — news cycle
balance-model-medicare-glp1-2027,BALANCE Model 2027: Medicare's Permanent GLP-1 Coverage Program,180,N/A,720,N/A,none,low,n,2,bing|cms|medicare-rights,n,n,Forward-looking 2027 anchor
insulin-35-cap-explained,The $35 Insulin Cap 2026: Medicare and Commercial Coverage,320,N/A,5400,N/A,slight,medium,n,1,bing|cms|kff|manufacturer-sites,n,n,IRA-anchored
step-therapy-medicare-2026,Step Therapy in Medicare Part D 2026: How to Get the Drug Your Doctor Wants,340,143,4400,N/A,slight,low,n,1,bing|cms|healthcare-gov,n,n,Strong broad-match signal
prior-authorization-drug-2026,Prior Authorization for Prescription Drugs in 2026: How to Win an Appeal,320,N/A,5400,N/A,slight,low,n,1,bing|cms|healthcare-gov|kff,n,n,Process page
copay-card-vs-coupon-2026,Drug Manufacturer Copay Cards vs GoodRx Coupons in 2026,420,N/A,3600,N/A,slight,medium,n,1,bing|goodrx-catalog|manufacturer-sites,n,n,High-leverage explainer — combines A + B manufacturer-coupon-vs-goodrx
patient-assistance-programs-2026,Drug Manufacturer Patient Assistance Programs 2026: How to Apply,360,N/A,4400,N/A,slight,medium,n,1,bing|cms,n,n,Pillar PAP article
copay-accumulator-vs-maximizer-2026,Copay Accumulator vs Copay Maximizer in 2026: How They Affect Your Drug Costs,240,N/A,2400,N/A,none,low,n,2,bing|kff|patient-advocate,n,n,Niche insurer policy
specialty-drug-tier-explained,Specialty Drug Tier Costs in 2026: What 30-40% Coinsurance Means,260,N/A,2900,N/A,slight,medium,n,2,bing|kff|goodrx-catalog,n,n,Formulary tier explainer
specialty-tier-coinsurance-2026,Specialty Tier Coinsurance 2026: How to Cap Out-of-Pocket Costs,220,N/A,1900,N/A,slight,medium,n,2,bing|kff|medicare-gov,n,n,Pairs with above
specialty-pharmacy-cost-2026,Specialty Pharmacy Drug Costs in 2026: Why Some Drugs Aren't at Walgreens,280,N/A,2900,N/A,none,low,n,2,bing,n,n,Distribution model
formulary-tier-explained,"Formulary Tier 1 vs Tier 2 vs Tier 3 vs Specialty Tier Explained (2026)",260,N/A,2900,N/A,slight,medium,n,2,bing|medicare-gov|kff,n,n,Formulary basics
non-formulary-drug-coverage,Non-Formulary Drug Coverage 2026: How to Get Insurance to Pay,200,N/A,1600,N/A,slight,medium,n,2,bing|healthcare-gov|kff,n,n,Process page
medication-bin-pcn-explained,What BIN and PCN Numbers Mean on Prescription Drug Cards (2026 Guide),140,N/A,720,N/A,none,low,n,3,bing|medicare-gov,n,n,Drug-card explainer
medicare-part-d-late-enrollment-penalty,Medicare Part D Late Enrollment Penalty 2026: How to Calculate and Avoid,280,N/A,4400,N/A,none,medium,n,1,bing|medicare-gov,n,n,Re-flagged none per critique #3 — no BUSA LEP article exists
medicare-part-d-vs-medicare-advantage-drug,Medicare Part D vs Medicare Advantage Drug Coverage 2026,240,N/A,2900,N/A,slight,medium,n,2,bing|medicare-gov|kff,n,n,Medicare structure
medicaid-drug-formulary-2026,Medicaid Prescription Drug Coverage and Formulary in 2026,320,N/A,2400,N/A,slight,medium,n,2,bing|medicaid-gov,n,n,Medicaid Rx
chip-prescription-coverage-2026,CHIP Prescription Drug Coverage for Kids in 2026,180,N/A,1300,N/A,none,low,n,3,bing|chip-program,n,n,CHIP Rx
glp1-class-cost-comparison,GLP-1 Cost Comparison 2026: Ozempic vs Wegovy vs Mounjaro vs Zepbound,580,57,12100,N/A,none,medium,n,1,bing|goodrx-class-page|kff|clincalc,n,n,Class pillar — also links to state-Medicaid GLP-1 pages on qa-state-eligibility template
sglt2-cost-comparison-2026,SGLT2 Cost Comparison 2026: Jardiance vs Farxiga vs Invokana,360,N/A,3600,N/A,none,low,n,2,bing|goodrx-class-page,n,n,Class pillar
doac-cost-comparison-2026,DOAC Cost Comparison 2026: Eliquis vs Xarelto vs Pradaxa,340,N/A,2900,N/A,none,low,n,2,bing|goodrx-class-page|kff,n,n,DOAC class — both Eliquis Xarelto IRA-negotiated 2026
statins-cost-comparison-2026,Statins Cost Comparison 2026: Lipitor vs Crestor vs Zocor Generics,280,N/A,3600,N/A,none,medium,n,1,bing|goodrx-class-page|clincalc,n,n,Statin class
ssri-cost-comparison-2026,SSRI Cost Comparison 2026: Zoloft vs Lexapro vs Prozac vs Celexa,260,N/A,2900,N/A,none,medium,n,2,bing|goodrx-class-page|clincalc,n,n,SSRI class
cgrp-migraine-class-cost,CGRP Migraine Drug Cost Comparison 2026: Aimovig vs Ajovy vs Emgality,240,N/A,2400,N/A,none,medium,n,2,bing|goodrx-class-page,n,n,CGRP migraine class
adhd-stimulants-cost-comparison,ADHD Stimulants Cost Comparison 2026: Adderall vs Vyvanse vs Concerta,320,N/A,4400,N/A,none,high,n,1,bing|goodrx-class-page|clincalc,n,n,ADHD class
biosimilar-switching-guide-2026,"Biosimilar Switching Guide 2026: Humira, Stelara, Enbrel Biosimilars",320,N/A,4400,N/A,none,low,n,1,bing|fda-purple-book,n,n,Pillar biosimilar landscape
biosimilar-vs-biologic-cost,Biosimilar vs Biologic Drug Cost 2026: Switching Rules and Savings,240,N/A,2400,N/A,none,medium,n,2,bing|fda|kff|goodrx-catalog,n,n,Biosimilar economics
humira-biosimilar-switch,Humira Biosimilar Switch 2026: 8 Approved Alternatives Compared,260,N/A,2900,N/A,none,medium,n,1,bing|fda|goodrx,n,n,Switching guide
biologics-cost-comparison,Biologics for Autoimmune Disease Cost Comparison 2026,240,N/A,2400,N/A,none,medium,n,2,bing|goodrx-class-page|kff,n,n,Class pillar
biosimilar-substitution-laws-state-2026,Biosimilar Substitution Laws by State in 2026,140,N/A,720,N/A,none,low,y,3,bing|fda,n,n,State pharmacist rules
psoriasis-biologics-cost,Psoriasis Biologics Cost Comparison 2026: Humira vs Skyrizi vs Stelara vs Cosentyx,220,N/A,2400,N/A,none,medium,n,2,bing|goodrx-class-page|npf,n,n,Psoriasis class
ra-medication-cost-comparison,Rheumatoid Arthritis Medication Cost Comparison 2026: Humira vs Enbrel vs Rinvoq,200,N/A,2900,N/A,none,medium,n,2,bing|goodrx-class-page|arthritis-foundation,n,n,RA class
crohns-medication-cost,Crohn's Disease Medication Cost Comparison 2026: Stelara vs Skyrizi vs Entyvio,180,N/A,2400,N/A,none,low,n,2,bing|goodrx-class-page|ccfa,n,n,Crohn's class
multiple-sclerosis-drug-cost,Multiple Sclerosis Drug Cost Comparison 2026: Ocrevus vs Tysabri vs Tecfidera,200,N/A,2400,N/A,none,low,n,2,bing|goodrx-class-page|nmss,n,n,MS class
ms-disease-modifying-therapy-cost,MS Disease-Modifying Therapy Cost 2026: Injection vs Oral vs Infusion,160,N/A,1600,N/A,none,low,n,3,bing|goodrx|nmss,n,n,MS DMT delivery
heart-failure-medications-cost,Heart Failure Medication Cost Comparison 2026: Entresto vs Generics,180,N/A,2400,N/A,none,low,n,2,bing|goodrx-class-page|aha,n,n,Heart failure class
asthma-inhalers-cost-comparison,Asthma Inhaler Cost Comparison 2026: Albuterol vs Advair vs Symbicort,260,N/A,3600,N/A,none,medium,n,2,bing|goodrx-class-page,n,n,Asthma class
copd-inhalers-cost-comparison,COPD Inhaler Cost Comparison 2026: Trelegy vs Symbicort vs Breo,240,N/A,2900,N/A,none,medium,n,2,bing|goodrx-class-page,n,n,COPD class
diabetes-medications-cost-by-tier,Diabetes Medication Cost by Insurance Tier 2026,220,N/A,2900,N/A,none,medium,n,2,bing|goodrx-class-page|ada,n,n,Diabetes class
adhd-medications-cost-by-age,ADHD Medication Cost by Age Group 2026: Pediatric vs Adult Coverage,180,N/A,1600,N/A,none,medium,n,2,bing|goodrx,n,n,ADHD age splits
ozempic-for-weight-loss-coverage-2026,Ozempic for Weight Loss Insurance Coverage in 2026,640,N/A,18100,17,none,high,n,1,bing|goodrx-catalog|cms,n,n,Coverage-intent companion
wegovy-medicare-coverage-2026,Wegovy Medicare Coverage in 2026: When Medicare Pays for Weight-Loss Drugs,540,26,12100,71,none,medium,n,1,bing|cms,n,n,CMS weight-loss + cardiac indication
mounjaro-for-weight-loss-coverage-2026,Mounjaro for Weight Loss Coverage in 2026,440,N/A,9900,84,none,medium,n,1,bing|goodrx-catalog,n,n,Off-label weight loss
zepbound-medicare-coverage-2026,Zepbound Medicare Coverage in 2026,420,N/A,5400,142,none,medium,n,2,bing|cms,n,n,On-label weight loss + sleep apnea
ozempic-medicare-coverage-2026,Ozempic Medicare Coverage in 2026: T2D Only or Off-Label Weight Loss,460,N/A,12100,17,none,high,n,1,bing|cms,n,n,Coverage rules
eliquis-medicare-2026,Eliquis Medicare Coverage in 2026: $35 IRA Maximum Fair Price Explained,420,N/A,8100,30,none,medium,n,1,bing|cms|ira-2026,n,n,IRA $35/month MFP
jardiance-medicare-2026,Jardiance Medicare Coverage in 2026: IRA Maximum Fair Price,360,N/A,5400,43,none,medium,n,1,bing|cms|ira-2026,n,n,IRA negotiated coverage
medicare-cover-ozempic-diabetes,Does Medicare Cover Ozempic for Diabetes in 2026 (Not Weight Loss),380,N/A,5400,17,none,high,n,1,bing|medicare-gov|kff,n,n,T2D coverage rule
medicare-cover-leqembi,Does Medicare Cover Leqembi for Alzheimer's in 2026,180,N/A,1300,N/A,none,low,n,2,bing|medicare-gov|cms,n,n,Part B + CED
alzheimer-drug-coverage-2026,Alzheimer's Drug Coverage 2026: Leqembi and Kisunla Medicare Rules,160,N/A,1300,N/A,none,low,n,2,bing|medicare-gov|alzheimer-org,n,n,Alzheimer class
glp1-medicaid-coverage-overview,GLP-1 Medicaid Coverage 2026 Overview: How State Coverage Varies,260,N/A,3600,N/A,slight,low,n,1,bing|kff|state-medicaid,n,n,Pillar overview — links to qa-state-eligibility state pages
glp1-aca-marketplace-coverage,GLP-1 Coverage on ACA Marketplace Plans in 2026,240,N/A,2900,N/A,none,medium,n,1,bing|healthcare-gov|kff,n,n,ACA marketplace
hiv-medications-aca-coverage,HIV Medications Under the ACA 2026: PrEP and Treatment Coverage Rules,180,N/A,1900,N/A,none,medium,n,2,bing|healthcare-gov|cdc,n,n,ACA + HIV
how-to-get-prep-free,How to Get PrEP for Free in 2026: Ready Patient Assistance and ACA,260,N/A,2400,N/A,none,medium,n,1,bing|cdc|gilead,n,n,Access pillar
ozempic-prior-auth-appeal,How to Appeal an Ozempic Prior Authorization Denial in 2026,260,N/A,2400,N/A,none,medium,n,1,bing|goodrx|kff,n,n,Appeal recipe
wegovy-prior-auth-appeal,How to Appeal a Wegovy Prior Authorization Denial in 2026,220,N/A,1900,N/A,none,medium,n,2,bing|goodrx|kff,n,n,Appeal recipe
ozempic-shortage-2026,Ozempic Shortage in 2026: Why You Can't Get It and What to Try,420,N/A,8100,17,none,medium,n,2,bing|fda,n,n,FDA resolved shortage Oct 2024
adhd-medication-shortage-2026,ADHD Medication Shortage 2026: Adderall and Vyvanse Updates,360,N/A,5400,N/A,none,medium,n,1,bing|fda-drug-shortage-list|goodrx,n,n,DEA quota + supply
compounded-glp1-cost-2026,Compounded GLP-1 Cost in 2026: Why Compounders Are Shutting Down,380,N/A,5400,N/A,none,low,n,2,bing|fda,n,n,FDA enforcement post-shortage
lilly-direct-self-pay-pricing-2026,"LillyDirect Self-Pay Pricing in 2026: Zepbound, Mounjaro Direct-to-Consumer",360,N/A,3600,N/A,none,low,n,1,bing|lilly-press,n,n,DTC Rx pharmacy
novocare-direct-self-pay-2026,"NovoCare Direct Self-Pay Pricing 2026: Wegovy, Ozempic Direct-to-Consumer",320,N/A,2900,N/A,none,low,n,1,bing|novocare-press,n,n,Novo DTC
drug-coupon-stacking-rules-2026,Drug Coupon and Copay Card Stacking Rules in 2026,260,N/A,1900,N/A,slight,low,n,2,bing,n,n,Power-user content
state-pharmaceutical-assistance-programs,State Pharmaceutical Assistance Programs (SPAPs) by State 2026,200,N/A,1600,N/A,none,low,y,2,bing|cms|state-spap-list,n,n,SPAP directory
free-narcan-by-state,How to Get Free Narcan by State 2026,160,N/A,1300,N/A,slight,low,y,2,bing|samhsa|state-programs,n,n,State Narcan
mail-order-pharmacy-cost-2026,Mail-Order Pharmacy Cost Savings in 2026: 90-Day Supply Math,260,N/A,3600,N/A,slight,low,n,2,bing|medicare-gov,n,n,Saving tactic
specialty-pharmacy-vs-retail,Specialty Pharmacy vs Retail: When You're Forced to Use One (2026),180,N/A,1300,N/A,none,low,n,3,bing|goodrx|medicare-gov,n,n,Specialty distribution
canada-vs-us-drug-prices-2026,Canada vs US Prescription Drug Prices in 2026: Importation Rules and Legal Pathways,290,N/A,4400,N/A,none,low,n,3,bing|fda|kff,n,n,Florida importation 2024
international-drug-importation-legal,Personal Drug Importation from Canada and Mexico 2026: Legal Rules and Risks,160,N/A,1300,N/A,none,low,n,3,bing|fda,n,n,Personal importation
mark-cuban-cost-plus-drugs-2026,Mark Cuban Cost Plus Drug Company in 2026: Which Drugs and Real Savings,420,N/A,12100,N/A,slight,medium,n,1,bing|costplusdrugs|goodrx,n,n,DTC Rx pharmacy
amazon-pharmacy-cost-2026,Amazon Pharmacy Prescription Cost in 2026: Prime Rx Savings,280,N/A,4400,N/A,none,low,n,2,bing|amazon-pharmacy|goodrx,n,n,DTC competitor
costco-pharmacy-no-membership,Costco Pharmacy Without Membership 2026: Drug Pricing for Anyone,220,N/A,2900,N/A,none,low,n,2,bing|costco-pharmacy|goodrx,n,n,No-membership rule
walmart-4-dollar-drug-list,Walmart $4 Generic Drug List 2026 (Updated),300,N/A,4400,N/A,none,medium,n,2,bing|walmart|goodrx,n,n,Discount generic list
publix-free-medications,Publix Free Antibiotics and Diabetes Medications 2026 List,180,N/A,1600,N/A,none,low,n,3,bing|publix,n,n,Grocery free Rx
hy-vee-free-medications,Hy-Vee Free Medications Program 2026 List,140,N/A,720,N/A,none,low,n,3,bing|hy-vee,n,n,Grocery free Rx
prescription-discount-cards-compared,Prescription Discount Cards Compared 2026: GoodRx vs SingleCare vs RxSaver,260,N/A,3600,N/A,slight,medium,n,1,bing|goodrx|singlecare,n,n,Card comparison
goodrx-vs-singlecare,GoodRx vs SingleCare in 2026: Which Saves More on Generics,200,N/A,1900,N/A,slight,medium,n,2,bing|goodrx|singlecare,n,n,Pairwise
brand-vs-generic-drug-cost,Brand vs Generic Drug Cost 2026: Bioequivalence and Savings Explained,300,N/A,9900,N/A,none,medium,n,1,bing|fda|goodrx,n,n,Re-flagged none per critique #5 (no BUSA brand-vs-generic article)
hsa-prescription-drugs-2026,Using HSA for Prescription Drugs in 2026: Eligibility and Reimbursement,260,N/A,3600,N/A,slight,medium,n,2,bing|irs,n,n,HSA-eligible Rx
fsa-prescription-drugs-2026,Using FSA for Prescription Drugs in 2026: Eligibility and Use-It-Or-Lose-It,240,N/A,2900,N/A,slight,medium,n,2,bing|irs,n,n,FSA-eligible Rx
prescription-drug-tax-deduction-2026,Are Prescription Drugs Tax-Deductible in 2026?,220,N/A,3600,N/A,slight,low,n,2,bing|irs,n,n,Medical-expense deduction
clinical-trial-drug-cost-2026,Clinical Trial Drugs in 2026: When Free Drugs Are Real and How to Apply,180,N/A,1900,N/A,none,low,n,3,bing|clinicaltrials-gov,n,n,Trials as workaround
expanded-access-compassionate-use-2026,Expanded Access and Compassionate Use Programs in 2026: Free Investigational Drugs,160,N/A,1300,N/A,none,low,n,3,bing|fda,n,n,FDA EAP
340b-drug-pricing-explained-2026,340B Drug Pricing Program in 2026: How Some Hospitals Get Drugs Cheaper,120,N/A,1300,N/A,none,low,n,3,bing|hrsa|kff,n,n,Hospital outpatient
how-to-get-insulin-uninsured,How to Get Insulin When Uninsured in 2026,360,N/A,5400,21,none,medium,n,SKIP,bing|content-inventory,n,y,Already queued (CU-135)
tier-exceptions-medicare-part-d,Tier Exceptions and Step Therapy Appeals in Medicare Part D 2026,380,40,3600,N/A,none,low,n,SKIP,bing|content-inventory,n,y,Already queued
generic-vs-brand-drug-cost,Generic vs Brand-Name Drug Cost in 2026: When the Switch Saves Money,420,N/A,9900,N/A,none,medium,n,SKIP,bing|content-inventory,n,y,Already queued (CU-161) — dedup with brand-vs-generic-drug-cost above
goodrx-vs-insurance-2026,GoodRx vs Insurance in 2026: When the Coupon Beats the Copay,280,N/A,4400,N/A,heavy,medium,n,SKIP,bing,n,n,BUSA has 'Medicare Part D vs GoodRx' — heavy
how-to-get-free-meds-low-income,How to Get Free Prescription Medications If You're Low-Income in 2026,360,N/A,5400,N/A,heavy,medium,n,SKIP,bing|rxassist,n,n,BUSA has 'Free Prescription Drugs Low Income' — heavy
needymeds-vs-rxassist,NeedyMeds vs RxAssist 2026: Free Drug Database Comparison,180,N/A,1300,N/A,slight,low,n,3,bing|needymeds|rxassist,n,n,PAP database tools
partnership-prescription-assistance-program,Partnership for Prescription Assistance (PPA) 2026 Guide,140,N/A,880,N/A,slight,low,n,3,bing|pparx,n,n,PPA portal
