topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,notes
covid-booster-cost,"COVID Booster Cost Without Insurance in 2026",,,,,none,medium,n,2,"cdc,goodrx,obvious-50",n,n,"B-only"
pneumonia-vaccine-cost,"Pneumonia Vaccine Cost Without Insurance in 2026",,,,,none,low,n,3,"cdc,obvious-50",n,n,"B-only"
mri-with-contrast-cost,"MRI with Contrast Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,obvious-50",n,n,"B-only"
ct-with-contrast-cost,"CT Scan with Contrast Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only"
mental-health-iop-cost,"Intensive Outpatient Mental Health Program Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
inpatient-mental-health-cost,"Inpatient Mental Health (Psychiatric Hospital) Cost Without Insurance in 2026",,,,,slight,low,n,3,"obvious-50",n,n,"B-only; BUSA slight overlap"
dental-implant-cost,"Dental Implant Cost Without Insurance in 2026",,,,,none,medium,n,2,"carecredit,goodrx,obvious-50",n,n,"B-only"
dentures-cost,"Dentures Cost Without Insurance in 2026 (Full + Partial)",,,,,none,medium,n,2,"carecredit,obvious-50",n,n,"B-only"
braces-orthodontics-cost,"Braces and Orthodontics Cost Without Insurance in 2026 (Adult + Child)",,,,,none,high,n,3,"carecredit,smiledirect,obvious-50",n,n,"B-only"
invisalign-cost,"Invisalign Cost Without Insurance in 2026",,,,,none,high,n,3,"invisalign,obvious-50",n,n,"B-only"
oxygen-tank-home-cost,"Home Oxygen Tank Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
wheelchair-walker-cost,"Wheelchair and Walker Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
diabetes-supplies-cost,"Diabetes Test Strips and CGM Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,singlecare,obvious-50",n,n,"B-only"
home-health-visit-cost,"Home Health Aide Visit Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
nursing-home-day-cost,"Nursing Home Cost Per Day in 2026",,,,,none,medium,n,3,"genworth,aarp,obvious-50",n,n,"B-only"
hospice-care-cost,"Hospice Care Cost Without Insurance in 2026",,,,,none,low,n,3,"medicare,obvious-50",n,n,"B-only"
sprain-treatment-cost,"Sprain or Strain Treatment Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
