topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,subtype,notes
what-counts-as-income-for-aca,What Counts as Income for ACA Subsidies in 2026?,620,52,1200,1,slight,medium,n,2,"BUSA-magi-aca-overlap,sibling-of-medicaid-income-MAGI",n,n,qa-coverage,
how-much-can-you-make-and-still-get-medicaid,How Much Can You Make and Still Get Medicaid in 2026?,820,72,1600,1,heavy,medium,n,1,"Bing-medicaid-income-limits-10631-broad,BUSA-overlap-shopping-intent-split",n,n,qa-coverage,
how-to-keep-medicaid-when-income-increases,How to Keep Medicaid When Income Increases in 2026? (Transitional Medicaid),420,36,720,2,slight,low,n,3,"BUSA-medicaid-working-overlap,sibling-of-can-i-keep-medicaid",n,n,qa-coverage,
is-medicare-part-b-mandatory,Is Medicare Part B Mandatory in 2026? (Late Enrollment Penalty),620,52,1100,1,none,medium,n,1,"Bing-what-is-medicare-part-b-7243-broad,CMS-Part-B-LEP-rule",n,n,qa-coverage,
do-i-need-medicare-if-i-have-employer-insurance,Do I Need Medicare If I Have Employer Insurance in 2026?,720,62,1300,1,none,medium,n,1,"CMS-creditable-coverage-rule",n,n,qa-coverage,
do-i-need-part-d-if-i-have-employer-drug-coverage,Do I Need Medicare Part D If I Have Employer Drug Coverage in 2026?,420,36,720,2,none,low,n,3,"CMS-Part-D-creditable-coverage-rule",n,n,qa-coverage,
what-happens-if-i-miss-medicare-enrollment,What Happens If I Miss My Medicare Enrollment Window in 2026?,580,48,950,1,none,medium,n,2,"CMS-IEP-GEP-rule",n,n,qa-coverage,
medicaid-vs-medicare-eligibility,Medicaid vs Medicare: Who Qualifies for Each in 2026?,1400,125,1900,1,slight,high,n,1,"Bing-what-is-medicaid-8794-broad,competitor-landscape-3-AARP-NCOA-coverage",n,n,qa-coverage,
do-i-qualify-medicaid-no-income,Do I Qualify for Medicaid With No Income in 2026?,920,82,1100,2,slight,medium,n,1,"Bing-qualify-for-medicaid-3191-broad,Bing-how-to-qualify-for-medicaid-1503,FANOUT-4.4-extension",n,n,qa-coverage,
chip-eligibility-by-state,CHIP Eligibility by State in 2026: Income Limits for Children (51-Fork),3200,290,2900,2,slight,medium,y,1,"CMS-CHIP-state-directory,critique-§2-additions,FANOUT-4.4-CHIP-variant",n,n,qa-state-eligibility,"NEW 51-fork per critique §2. BUSA overlap corrected heavy→slight (CHIP brand variants underserved by BUSA per §5). Per critique §6.7 — build here until CHIP-factory exists."
chip-eligibility-alabama,Do I Qualify for Alabama CHIP (ALL Kids) in 2026?,,,,2,slight,low,y,2,"allkids.dhr.alabama.gov,insurekidsnow,FANOUT-state-brand",n,n,qa-state-eligibility,"Per-state CHIP child of chip-eligibility-by-state."
chip-eligibility-california,Do I Qualify for California CHIP (Medi-Cal for Kids) in 2026?,,,,2,slight,medium,y,2,"dhcs.ca.gov,coveredca,insurekidsnow",n,n,qa-state-eligibility,"Per-state CHIP child."
chip-eligibility-florida,Do I Qualify for Florida CHIP (Florida KidCare) in 2026?,,,,2,slight,medium,y,2,"floridakidcare.org,insurekidsnow",n,n,qa-state-eligibility,"Per-state CHIP child. Strong brand variant (Florida KidCare)."
chip-eligibility-georgia,Do I Qualify for Georgia CHIP (PeachCare for Kids) in 2026?,,,,2,slight,medium,y,2,"peachcare.org,insurekidsnow",n,n,qa-state-eligibility,"Per-state CHIP child. Strong brand variant (PeachCare)."
chip-eligibility-new-york,Do I Qualify for NY Child Health Plus in 2026?,,,,2,slight,medium,y,2,"health.ny.gov,insurekidsnow",n,n,qa-state-eligibility,"Per-state CHIP child. Strong brand variant (Child Health Plus)."
chip-eligibility-texas,Do I Qualify for Texas CHIP in 2026?,,,,2,slight,medium,y,2,"chiptexas.gov,insurekidsnow",n,y,qa-state-eligibility,"Per-state CHIP child. Already-queued per B."
chip-eligibility-washington,Do I Qualify for Washington Apple Health for Kids in 2026?,,,,2,slight,low,y,2,"hca.wa.gov,insurekidsnow",n,n,qa-state-eligibility,"Per-state CHIP child. Apple Health for Kids brand."
chip-eligibility-illinois,Do I Qualify for Illinois All Kids CHIP in 2026?,,,,2,slight,low,y,2,"hfs.illinois.gov,insurekidsnow",n,n,qa-state-eligibility,"Per-state CHIP child."
medicare-savings-program-by-state,Medicare Savings Programs (QMB/SLMB/QI) by State 2026 (51-Fork),3000,270,2400,1,none,medium,y,1,"Bing-medicare-savings-program-7558-broad,Bing-qmb-13183-broad,CU-104-queued,critique-§2-additions",n,n,qa-state-eligibility,"NEW 51-fork per critique §2. State-MSP-expansion (CT/MN/ME/NY) above federal floors lives here per critique §3.3."
medicare-savings-program-alabama,Alabama Medicare Savings Programs (QMB/SLMB/QI) Eligibility 2026,,,,2,slight,low,y,2,"medicaid.alabama.gov,medicare.gov,kff",n,n,qa-state-eligibility,"Per-state MSP child."
medicare-savings-program-california,California Medicare Savings Programs (QMB/SLMB) Eligibility 2026,,,,2,slight,medium,y,2,"dhcs.ca.gov,medicare.gov,kff",n,n,qa-state-eligibility,"Per-state MSP child."
medicare-savings-program-connecticut,Connecticut Medicare Savings Programs Eligibility 2026 (State-Funded Expansion),,,,2,slight,medium,y,1,"portal.ct.gov,medicare.gov,kff,state-MSP-expansion",n,n,qa-state-eligibility,"Per-state MSP child. P1 due to CT state-funded MSP expansion (high-value angle)."
medicare-savings-program-florida,Florida Medicare Savings Programs (QMB/SLMB) Eligibility 2026,,,,2,slight,medium,y,2,"ahca.myflorida.com,medicare.gov,kff",n,n,qa-state-eligibility,"Per-state MSP child."
medicare-savings-program-maine,Maine Medicare Savings Programs Eligibility 2026 (State-Funded Expansion),,,,2,slight,low,y,1,"maine.gov/dhhs,medicare.gov,kff,state-MSP-expansion",n,n,qa-state-eligibility,"Per-state MSP child. P1 due to ME state-funded MSP expansion."
medicare-savings-program-minnesota,Minnesota Medicare Savings Programs Eligibility 2026 (State-Funded Expansion),,,,2,slight,medium,y,1,"mn.gov/dhs,medicare.gov,kff,state-MSP-expansion",n,n,qa-state-eligibility,"Per-state MSP child. P1 due to MN state-funded MSP expansion."
medicare-savings-program-new-york,New York Medicare Savings Programs Eligibility 2026 (State-Funded Expansion),,,,2,slight,medium,y,1,"health.ny.gov,medicare.gov,kff,state-MSP-expansion",n,n,qa-state-eligibility,"Per-state MSP child. P1 due to NY state-funded MSP expansion above federal floors."
medicare-savings-program-texas,Texas Medicare Savings Programs Eligibility 2026,,,,2,slight,medium,y,2,"hhs.texas.gov,medicare.gov,kff",n,n,qa-state-eligibility,"Per-state MSP child."
state-pharmaceutical-assistance-programs,State Pharmaceutical Assistance Programs (SPAPs) by State 2026,2200,196,1800,1,none,low,y,1,"medicare.gov-spap-directory,critique-§3-additions",n,n,qa-state-eligibility,"NEW per critique §3. ~20 states run SPAPs (NY EPIC, NJ PAAD, PA PACE/PACENET, MA Prescription Advantage). BUSA doesn't cover."
state-spap-new-york-epic,New York EPIC (Senior Drug Coverage): Eligibility & Benefits 2026,520,45,820,2,none,low,y,1,"health.ny.gov/health_care/epic,critique-§3",n,n,qa-state-eligibility,"Per-state SPAP brand page."
state-spap-new-jersey-paad,New Jersey PAAD: Pharmaceutical Assistance Eligibility 2026,420,36,620,2,none,low,y,1,"nj.gov/humanservices/paad,critique-§3",n,n,qa-state-eligibility,"Per-state SPAP brand page."
state-spap-pennsylvania-pace,Pennsylvania PACE/PACENET: Eligibility & Benefits 2026,520,45,820,2,none,low,y,1,"aging.pa.gov/pace,critique-§3",n,n,qa-state-eligibility,"Per-state SPAP brand page."
state-spap-massachusetts-prescription-advantage,Massachusetts Prescription Advantage: Eligibility & Benefits 2026,320,28,420,2,none,low,y,1,"mass.gov/prescription-advantage,critique-§3",n,n,qa-state-eligibility,"Per-state SPAP brand page."
medicaid-immigrant-coverage-by-state,Medicaid Coverage for Immigrants by State 2026 (CA/NY/IL/MA/OR/WA Expansion),1400,125,1200,1,slight,medium,y,1,"medicaid.gov,nilc,kff,critique-§2-§3-additions",n,n,qa-state-eligibility,"NEW per critique §2/§3. CA/NY/IL/MA/OR/WA full undocumented expansion is politically hot 2026."
medicaid-immigrant-eligibility,Can Immigrants Get Medicaid in 2026? (Five-Year Bar + State Options),920,82,1300,1,slight,medium,n,1,"medicaid.gov,nilc,kff",n,n,qa-state-eligibility,"National Q&A companion (priority adjudicated B wins per critique §6.8)."
state-medicaid-undocumented,Emergency Medicaid for Undocumented Immigrants by State 2026,720,62,1000,2,slight,low,y,1,"Bing-emergency-medicaid-related,KFF-state-immigrant-medicaid-tracker,critique-§3-priority-bump",n,n,qa-state-eligibility,"Priority bumped from P3 to P1 per critique §3.1."
pregnancy-medicaid-by-state,Pregnancy Medicaid Eligibility by State 2026: Income Limits & Coverage,1400,125,1200,1,slight,medium,y,1,"medicaid.gov,cms,kff,march-of-dimes,critique-§3-additions",n,n,qa-state-eligibility,"NEW 51-fork per critique §3. National = pregnancy coverage Q&A; state-fork = income-cliff variation (200%+ FPL states)."
state-medicaid-pregnant-women,Per-State Pregnancy Medicaid Income Limits 2026 (200%+ FPL Variation),780,68,900,2,slight,medium,y,2,"Bing-medicaid-pregnant-related,CU-023-overlap-but-state-fork-valid",n,n,qa-state-eligibility,"State-fork variant. Companion to pregnancy-medicaid-by-state national page."
medicaid-retroactive-eligibility-by-state,Medicaid Retroactive Eligibility (3-Month Look-Back) by State 2026,820,72,720,2,none,low,y,1,"medicaid.gov,kff,critique-§3-additions",n,n,qa-state-eligibility,"NEW per critique §3. Some states have eliminated this benefit. High-intent for big-medical-bills surface."
state-continuous-eligibility-kids,State Continuous Eligibility for Children's Medicaid/CHIP 2026 (12 vs 24 Months),620,52,580,2,none,low,y,2,"medicaid.gov,cms-2024-final-rule,critique-§3-additions",n,n,qa-state-eligibility,"NEW per critique §3. Varies materially after CMS 2024 final rule."
state-medicaid-asset-limits,Medicaid Asset Limits by State 2026 (Umbrella + Top States),1100,98,1100,2,slight,medium,n,2,"Bing-medicaid-asset-limit-related,critique-§6.9-adjudicated-umbrella+5-7-states",n,n,qa-state-eligibility,"Per critique §6.9 — build umbrella + 5-7 high-pop state forks, NOT 51."
medicaid-asset-limits-elderly,Medicaid Asset Limits for Seniors 2026: How Much Can I Have?,820,72,820,2,none,medium,n,2,"medicaid.gov,aarp,kff",n,n,qa-state-eligibility,"National Q&A. Companion to state-fork asset-limits page."
medicaid-spend-down-eligibility,How Does Medicaid Spend-Down Work in 2026?,720,62,820,2,none,medium,n,2,"medicaid.gov,elder-law,kff",n,n,qa-state-eligibility,
medicaid-look-back-period,What Is the Medicaid 5-Year Look-Back Period in 2026?,820,72,920,2,none,medium,n,2,"medicaid.gov,elder-law-answers,aarp",n,n,qa-state-eligibility,
medicaid-long-term-care-eligibility,Do I Qualify for Medicaid Long-Term Care in 2026? (Nursing Home + HCBS),920,82,1200,1,slight,medium,n,1,"medicaid.gov,kff,aarp",n,n,qa-state-eligibility,
state-medicaid-seniors,Medicaid for Seniors by State 2026: Income Limits and Long-Term Care,950,85,1100,2,slight,medium,y,2,"BUSA-benefits-for-seniors-overlap-app-intent,FANOUT-4.4",n,n,qa-state-eligibility,"State-fork — long-term care varies by state."
state-medicaid-disabled,Medicaid for People with Disabilities by State 2026,720,62,840,2,slight,low,y,2,"competitor-CMS-state-Medicaid-directory,Bing-medicaid-eligibility-related",n,n,qa-state-eligibility,
state-medicaid-working-people,Medicaid Buy-In for Working Disabled by State 2026,420,36,480,3,none,low,y,2,"competitor-CMS-MBI-state-directory",n,n,qa-state-eligibility,
state-medicaid-after-job-loss,Can I Get Medicaid After Losing My Job in 2026? (By State),620,52,780,2,slight,low,y,2,"Bing-job-loss-medicaid,event-overlap-but-state-fork",n,n,qa-state-eligibility,
state-medicaid-expansion-status,Is Medicaid Expanded in My State in 2026? (Non-Expansion State Map),900,80,1200,1,none,medium,y,1,"KFF-Medicaid-expansion-tracker,FANOUT-4.4-expansion-status-shape",n,n,qa-state-eligibility,
can-i-get-medicaid-with-job,Can You Get Medicaid If You Have a Job in 2026?,820,72,1100,1,heavy,medium,n,1,"medicaid.gov,kff",n,y,qa-state-eligibility,"Already-queued in BUSA universe per B."
aca-marketplace-subsidy-eligibility-2026,Do I Qualify for ACA Marketplace Subsidies in 2026? Income Limits Explained,2400,210,2200,2,heavy,high,n,1,"Bing-marketplace-8720k-broad,BUSA-state-aca-eligibility-overlap-confirmed,healthcare.gov,kff",n,n,qa-state-eligibility,"National Q&A only. Skip state-fork (BUSA owns state-ACA eligibility per critique §5)."
extra-help-eligibility-2026,Do I Qualify for Medicare Extra Help (LIS) in 2026?,3500,313,2400,1,slight,medium,n,1,"Bing-extra-help-21942-broad-1939-strict,Bing-medicare-extra-help-6989-broad,CU-120-overlap,critique-§4-bump",n,n,qa-state-eligibility,"Slug from B (year-anchored per critique §6.6). Demand bumped from 820 to 3500 per critique §4."
medicare-part-d-eligibility,Who Qualifies for Medicare Part D in 2026?,720,62,1100,1,none,medium,n,2,"medicare.gov,cms,kff",n,n,qa-state-eligibility,
catastrophic-health-plan-eligibility,Do I Qualify for a Catastrophic Health Plan in 2026? (Under-30 + Hardship),520,45,820,2,none,low,n,2,"healthcare.gov,kff",n,n,qa-state-eligibility,
short-term-health-insurance-eligibility,Can I Get Short-Term Health Insurance in 2026? (State Rules),620,52,920,2,none,low,y,2,"kff,healthcare.gov,naic",n,n,qa-state-eligibility,
medicaid-vs-medicare-savings-program,Medicaid vs Medicare Savings Programs: Which Should I Apply For in 2026?,520,45,820,2,none,low,n,2,"medicare.gov,medicaid.gov,kff",n,n,qa-state-eligibility,
dental-coverage-by-state-medicaid,Adult Dental Medicaid Coverage by State 2026 (Full Comparison),920,82,1100,2,slight,medium,y,1,"medicaid.gov,cms,kff",n,n,qa-state-eligibility,
abortion-coverage-medicaid-by-state,Medicaid Abortion Coverage by State 2026: Where It's Covered,820,72,1100,1,none,medium,y,1,"kff,guttmacher",n,n,qa-state-eligibility,
gender-affirming-care-medicaid-by-state,Gender-Affirming Care Medicaid Coverage by State 2026,820,72,1100,1,none,medium,y,1,"kff,hrc,movement-advancement-project",n,n,qa-state-eligibility,
ivf-coverage-by-state-2026,IVF Insurance Coverage by State 2026: Mandate Map,720,62,920,2,none,medium,y,2,"resolve.org,naic,kff",n,n,qa-state-eligibility,
