sheet_row,sheet_id,sheet_title,sheet_status,sheet_priority,classification,matched_template,matched_slug,recommended_action,confidence,notes
123,CU-122,2026 CHIP Income Limits by State: Does Your Child Qualify?,Low Priority,3,REVIEW_NEEDED,track-d,state-chp-plus-income-limits,Review: looks like track-d but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
124,CU-123,CHIP vs Medicaid: Which Does Your Child Qualify For?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
125,CU-124,Can Mixed-Status Families Apply for CHIP Without Risk?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
126,CU-125,CHIP and Joint Custody: Which Parent Should Apply?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
127,CU-126,VA Healthcare Eligibility 2026: Who Qualifies and How to Enroll,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
128,CU-127,2026 PACT Act Expansion: Which Veterans Are Now Eligible for VA Care?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
129,CU-128,VA Healthcare Benefits by Disability Rating: 0% to 100% Compared,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
130,CU-129,Can You Have VA Healthcare and Medicare at the Same Time?,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
131,CU-130,Does VA Healthcare Cover Your Spouse and Dependents?,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
133,CU-132,Medicaid Spend-Down: How the Medically Needy Qualify,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
134,CU-133,What Is a Miller Trust? How to Qualify for Nursing Home Medicaid Over the Income Limit,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
135,CU-134,ACA Special Enrollment Period 2026: Who Qualifies and How to Apply,Held,1,MIGRATE_TO_TEMPLATE,event,special-enrollment-period-2026,Migrate to event template; delete from Sheet so blog-cron doesn't write it as a blog.,1.00,Strong match to event topic 'special-enrollment-period-2026' (jaccard 1.00)
136,CU-135,Will Medicaid Take My House? Estate Recovery Rules Explained,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
138,CU-137,Does Medicaid Use Gross or Net Income? MAGI Calculation Explained,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
142,CU-142,Does Medicaid Cover Dental Care? What You Need to Know in 2026,Held,1,MIGRATE_TO_TEMPLATE,qa,does-medicare-cover-dental,QA template (Does X cover Y form). Migrate to /qa/does-medicare-cover-dental.,0.57,QA-coverage shape; matched does-medicare-cover-dental (jaccard 0.57)
143,CU-143,Does Medicaid Cover Eye Exams and Glasses in 2026?,Low Priority,3,MIGRATE_TO_TEMPLATE,qa,does-medicaid-cover-vision,QA template (Does X cover Y form). Migrate to /qa/does-medicaid-cover-vision.,0.63,QA-coverage shape; matched does-medicaid-cover-vision (jaccard 0.63)
144,CU-144,Does Medicaid Cover Therapy and Mental Health Services?,Low Priority,3,MIGRATE_TO_TEMPLATE,qa,does-medicaid-cover-mental-health,QA template (Does X cover Y form). Migrate to /qa/does-medicaid-cover-mental-health.,0.50,QA-coverage shape; matched does-medicaid-cover-mental-health (jaccard 0.50)
145,CU-145,Does Medicaid Cover Prescription Drugs? A Complete Guide,Low Priority,3,MIGRATE_TO_TEMPLATE,qa,does-medicaid-cover-prescription-drugs,Migrate to qa template; delete from Sheet so blog-cron doesn't write it as a blog.,0.80,Strong match to qa topic 'does-medicaid-cover-prescription-drugs' (jaccard 0.80)
146,CU-146,Does Medicaid Cover Surgery? What Procedures Are Included,Low Priority,3,MIGRATE_TO_TEMPLATE,qa,does-medicaid-cover-top-surgery,QA template (Does X cover Y form). Migrate to /qa/does-medicaid-cover-top-surgery.,0.50,QA-coverage shape; matched does-medicaid-cover-top-surgery (jaccard 0.50)
147,CU-147,How Much Does Health Insurance Cost Per Month in 2026?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
149,CU-149,Copay vs Deductible vs Coinsurance: Health Insurance Terms Explained Simply,Ready,1,MIGRATE_TO_TEMPLATE,glossary,copay-deductible-coinsurance,Migrate to glossary template; delete from Sheet so blog-cron doesn't write it as a blog.,0.78,Strong match to glossary topic 'copay-deductible-coinsurance' (jaccard 0.78)
150,CU-150,What Is COBRA Insurance? How Much It Costs and When to Use It,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
151,CU-151,Bronze vs Silver vs Gold Health Plans: Which ACA Plan Level Is Right for You?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
152,CU-152,What Happens If You Do Not Have Health Insurance in 2026?,Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
153,CU-153,Can You Buy Health Insurance Outside of Open Enrollment?,Ready,1,REVIEW_NEEDED,qa,can-i-buy-aca-outside-open-enrollment,Review: looks like qa but jaccard only 0.63. Could keep as blog OR migrate.,0.63,Ambiguous match; needs human eyes
154,CU-154,Short-Term Health Insurance: Is It Worth It in 2026?,Ready,1,REVIEW_NEEDED,qa,short-term-health-insurance-eligibility,Review: looks like qa but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
155,CU-155,Health Insurance Options for Immigrants in the US (2026 Guide),Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
156,CU-156,Health Insurance for DoorDash and Uber Drivers: Your Best Options in 2026,Ready,1,MIGRATE_TO_TEMPLATE,persona,doordash-uber-drivers,Migrate to persona template; delete from Sheet so blog-cron doesn't write it as a blog.,0.70,Strong match to persona topic 'doordash-uber-drivers' (jaccard 0.70)
158,CU-158,How to Get Cheaper Prescription Drugs in 2026 (With or Without Insurance),Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
159,CU-159,What Is Open Enrollment? Health Insurance Dates and Deadlines for 2026,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
160,CU-160,Dual Eligible: Having Both Medicaid and Medicare Explained,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
161,CU-161,The Medicaid Look-Back Period: What It Is and How It Works,Ready,1,REVIEW_NEEDED,qa,medicaid-look-back-period,Review: looks like qa but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
162,CU-162,How Long Does It Take to Get Approved for Medicaid?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
163,CU-163,Medicaid for Adults With Disabilities: Eligibility and Benefits in 2026,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
164,CU-164,Best Health Insurance Options for People With Diabetes in 2026,Ready,1,REVIEW_NEEDED,persona,diabetes-patients,Review: looks like persona but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
165,CU-165,ACA Marketplace Subsidy Calculator: How Much Help Will You Get in 2026?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
166,CU-166,Medigap Plans Comparison Chart 2026: Plans A Through N Side by Side,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
167,CU-167,Medicaid vs Private Insurance: Which Is Better for You?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
168,CU-168,Can You Have Two Health Insurance Plans at the Same Time?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
169,CU-169,What Is a Health Insurance Premium and How Is It Calculated?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
170,CU-170,Health Insurance With Pre-Existing Conditions: Your Rights in 2026,Ready,1,REVIEW_NEEDED,persona,people-pre-existing-conditions,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
171,CU-171,How to Choose the Right Health Insurance Plan (Step by Step),Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
172,CU-172,Why Was My Medicaid Application Denied? Common Reasons and What to Do,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
173,CU-173,How Much Does an ER Visit Cost Without Insurance? (And How to Handle It),Ready,1,REVIEW_NEEDED,procedure,dermatology-visit-cost,Review: looks like procedure but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
174,CU-174,The Premium Tax Credit Explained: How ACA Subsidies Lower Your Costs,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
175,CU-175,HSA vs FSA: Which Health Savings Account Is Better for You?,Ready,1,MIGRATE_TO_TEMPLATE,glossary,hsa-vs-fsa,Migrate to glossary template; delete from Sheet so blog-cron doesn't write it as a blog.,0.86,Strong match to glossary topic 'hsa-vs-fsa' (jaccard 0.86)
176,CU-176,Can You Get Medicaid If You Have a Job? Income Rules Explained,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
177,CU-177,Health Insurance for Early Retirees: Bridging the Gap Before Medicare at 65,Low Priority,3,REVIEW_NEEDED,persona,early-retirees-pre-65,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
178,CU-178,What Is Medicaid? Who Qualifies and What It Covers in 2026,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
179,CU-179,What Is Medicare? Who Qualifies and What It Covers in 2026,Ready,2,REVIEW_NEEDED,qa,medigap-vs-medicare-advantage,Review: looks like qa but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
180,CU-180,HealthCare.gov vs State Marketplace: Where Should You Apply?,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
181,CU-181,"Too Much for Medicaid, Too Little for ACA Subsidies: What Are Your Options?",Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
182,CU-182,ACA Subsidy Expiration 2026: What Changed and What to Do Now,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
183,CU-183,Why Did My Health Insurance Premium Go Up So Much in 2026?,Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
184,CU-184,How to Find Affordable Health Insurance Without ACA Subsidies in 2026,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
185,CU-185,ACA Premium Increases 2026: State by State Breakdown,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
186,CU-186,Lost Your ACA Subsidy? Here Are Your Options in 2026,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
187,CU-187,The ACA Subsidy Cliff Is Back: What It Means for Your Premiums,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
188,CU-188,How to Lower Your Health Insurance Costs in 2026 (10 Real Options),Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
189,CU-189,How to Get Health Insurance in 2026: A Step by Step Guide,Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.60. Could keep as blog OR migrate.,0.60,Ambiguous match; needs human eyes
190,CU-190,Health Insurance Plans and Prices 2026: What to Expect,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
191,CU-191,Obamacare Plans 2026: What Is Available and How Much Does It Cost?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
192,CU-192,The Most Affordable Health Insurance Options in 2026,Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
193,CU-193,How to Apply for Health Insurance Online Through Healthcare.gov,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
194,CU-194,Best Health Insurance for Families in 2026: Plans and Costs,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
195,CU-195,Can You Still Get Free Health Insurance in 2026?,Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.60. Could keep as blog OR migrate.,0.60,Ambiguous match; needs human eyes
196,CU-196,"Health Insurance for Kids in 2026: CHIP, Medicaid, or Marketplace?",Ready,1,MIGRATE_TO_TEMPLATE,persona,children-kids,Migrate to persona template; delete from Sheet so blog-cron doesn't write it as a blog.,0.70,Strong match to persona topic 'children-kids' (jaccard 0.70)
197,CU-197,Health Insurance for Pregnant Women: Your Best Options in 2026,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
198,CU-198,Health Insurance for Seniors Under 65: Best Options Before Medicare,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
199,CU-199,Medicare Part A vs Part B: What Each Covers and What You Pay,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
200,CU-200,"How Much Does Medicare Cost in 2026? Premiums, Deductibles, and More",Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
201,CU-201,Best Medicare Advantage Plans in 2026: How to Choose,Ready,1,MIGRATE_TO_TEMPLATE,ma-state,georgia,Migrate to ma-state template; delete from Sheet so blog-cron doesn't write it as a blog.,0.67,Strong match to ma-state topic 'georgia' (jaccard 0.67)
202,CU-202,Medicare Supplement (Medigap) Plans 2026: Costs and Coverage Compared,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
203,CU-203,When to Sign Up for Medicare: Enrollment Periods and Deadlines,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
204,CU-204,Medicare Part D Prescription Drug Plans 2026: What to Know,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
205,CU-205,Turning 65? Your Complete Medicare Enrollment Checklist,Ready,1,DROP_DUPE_EXISTING_PAGE,event,turning-65-medicare,DELETE FROM SHEET (already shipped),0.90,Duplicates live event page /turning-65-medicare (concept match)
206,CU-206,Medicare Annual Enrollment Period 2026: Dates and What You Can Change,Ready,1,REVIEW_NEEDED,event,medicare-aep-2026,Review: looks like event but jaccard only 0.64. Could keep as blog OR migrate.,0.64,Ambiguous match; needs human eyes
207,CU-207,Is Medicare Free? What You Actually Pay in 2026,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
208,CU-208,Medicare for People Under 65 With Disabilities: How to Qualify,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
209,CU-209,Original Medicare vs Medicare Advantage: Which Is Better in 2026?,Ready,1,REVIEW_NEEDED,qa,medicare-advantage-vs-original-medicare,Review: looks like qa but jaccard only 0.57. Could keep as blog OR migrate.,0.57,Ambiguous match; needs human eyes
210,CU-210,Health Insurance Cost Calculator: Estimate Your 2026 Premium,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
211,CU-211,Medicare Cost Calculator 2026: Estimate Your Total Costs,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
212,CU-212,Federal Poverty Level 2026: Income Guidelines by Family Size,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
213,CU-213,Health Insurance After Divorce: Your Options and Next Steps,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
214,CU-214,Health Insurance for Freelancers in 2026: The Complete Guide,Ready,1,MIGRATE_TO_TEMPLATE,persona,freelancers,Migrate to persona template; delete from Sheet so blog-cron doesn't write it as a blog.,1.00,Strong match to persona topic 'freelancers' (jaccard 1.00)
215,CU-215,Health Insurance for Small Business Owners: Individual vs Group Plans,Ready,1,REVIEW_NEEDED,persona,small-business-owners,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
216,CU-216,Health Insurance Options for Part-Time Workers in 2026,Ready,1,REVIEW_NEEDED,persona,part-time-workers,Review: looks like persona but jaccard only 0.60. Could keep as blog OR migrate.,0.60,Ambiguous match; needs human eyes
217,CU-217,Having a Baby? How to Add a Newborn to Your Health Insurance,Ready,1,MIGRATE_TO_TEMPLATE,event,having-a-baby,Migrate to event template; delete from Sheet so blog-cron doesn't write it as a blog.,0.86,Strong match to event topic 'having-a-baby' (jaccard 0.86)
218,CU-218,Laid Off? Your Health Insurance Options Explained,Ready,1,REVIEW_NEEDED,event,laid-off,Review: looks like event but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
219,CU-219,Moving to a New State? How to Switch Health Insurance,Ready,1,REVIEW_NEEDED,event,moved-to-new-state,Review: looks like event but jaccard only 0.63. Could keep as blog OR migrate.,0.63,Ambiguous match; needs human eyes
220,CU-220,Health Insurance for 1099 Independent Contractors: Best Options in 2026,Ready,1,REVIEW_NEEDED,persona,1099-contractors,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
221,CU-221,Just Got Married? Your Health Insurance Options and Next Steps,Ready,1,REVIEW_NEEDED,event,just-got-married,Review: looks like event but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
222,CU-100,"2026 Medicare Costs: Every Premium, Deductible, and IRMAA Bracket",Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
223,CU-101,"Medicare Enrollment Deadlines 2026: Every Period, Penalty, and Exception",Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
224,CU-102,2026 ACA Subsidy Amounts by Income and Family Size,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
225,CU-103,"Medicare Part D Costs 2026: Premiums, Donut Hole Changes, and the New ,100 Cap",Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
226,CU-104,"Medicare Savings Program Income Limits 2026: QMB, SLMB, and QI",Ready,1,MIGRATE_TO_TEMPLATE,glossary,medicare-savings-program,Migrate to glossary template; delete from Sheet so blog-cron doesn't write it as a blog.,0.75,Strong match to glossary topic 'medicare-savings-program' (jaccard 0.75)
227,CU-105,IRMAA Brackets 2026: Medicare Income Surcharge Tiers and Thresholds,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
228,CU-106,2026 CHIP Income Limits by State: Complete Eligibility Chart,Ready,1,REVIEW_NEEDED,qa,chip-eligibility-by-state,Review: looks like qa but jaccard only 0.60. Could keep as blog OR migrate.,0.60,Ambiguous match; needs human eyes
229,CU-107,Turning 65 While Still Working: Do You Need Medicare?,Ready,1,DROP_DUPE_EXISTING_PAGE,event,turning-65-medicare,DELETE FROM SHEET (already shipped),0.90,Duplicates live event page /turning-65-medicare (concept match)
230,CU-108,I Am on COBRA: Do I Still Need to Sign Up for Medicare?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
231,CU-109,My Spouse Has Medicare But I Am Under 65: What Do I Do?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
232,CU-110,Retired at 63: How to Get Health Insurance Before Medicare,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
233,CU-111,HSA and Medicare: Why You Cannot Have Both,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
234,CU-112,What Is IRMAA and Why Is Medicare Charging Me More?,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
235,CU-113,Medicare Late Enrollment Penalties: What They Cost You for Life,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
236,CU-114,11 Things Medicare Does Not Cover That Most People Think It Does,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
237,CU-115,I Make Too Much for Medicaid But Cannot Afford Marketplace Insurance,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
238,CU-116,ACA Subsidies in 2026: What Changed After Enhanced Subsidies Expired,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
239,CU-117,Do I Lose Medicaid If I Get a Raise?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
240,CU-118,What Happens If I Underestimate My Income for ACA Subsidies?,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
241,CU-119,How to Get Affordable Prescriptions Without Insurance in 2026,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
243,CU-121,Free and Low-Cost Health Clinics: How to Find Care Near You,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
244,CU-122,Short-Term Health Insurance: Is It Worth It in 2026?,Ready,1,REVIEW_NEEDED,qa,short-term-health-insurance-eligibility,Review: looks like qa but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
245,CU-123,How to Appeal a Denied Health Insurance Claim Step by Step,Ready,1,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
246,CU-124,Can You Get Health Insurance If You Are Undocumented?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
247,CU-125,Can You Have Both Medicare and Medicaid? Dual Eligibility Explained,Ready,1,MIGRATE_TO_TEMPLATE,qa,can-i-have-both-medicare-and-medicaid,Migrate to qa template; delete from Sheet so blog-cron doesn't write it as a blog.,0.71,Strong match to qa topic 'can-i-have-both-medicare-and-medicaid' (jaccard 0.71)
248,CU-126,What Happens If You Do Not Have Health Insurance in 2026?,Ready,1,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
249,CU-127,Medigap Plan G vs Plan N: Which Should You Choose?,Ready,1,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
250,CU-128,Bronze vs Silver vs Gold ACA Plans: Actual Cost Differences,Ready,1,REVIEW_NEEDED,glossary,bronze-silver-gold,Review: looks like glossary but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
