topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,notes
tramadol-cost-2026,Tramadol Cost in 2026: Generic Opioid Pricing and Schedule IV,90,N/A,2400,19,none,low,n,3,bing|clincalc|goodrx-catalog,Generic available; schedule IV
pradaxa-cost-2026,Pradaxa Cost in 2026: Dabigatran Generic and DOAC Pricing,180,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,DOAC class; generic launching
trajenta-cost-2026,Trajenta Cost in 2026: Linagliptin DPP-4 Inhibitor Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,Januvia competitor (not IRA-negotiated)
invokana-cost-2026,Invokana Cost in 2026: Canagliflozin SGLT2 Pricing and Coverage,180,N/A,2400,N/A,none,medium,n,3,bing|goodrx-catalog,Jardiance/Farxiga competitor; not IRA-negotiated
tylenol-cost-2026,Tylenol Cost in 2026: OTC vs Generic Acetaminophen,80,N/A,4400,N/A,none,low,n,3,bing|goodrx-catalog,OTC — low cost-anxiety
advil-cost-2026,Advil Cost in 2026: OTC vs Generic Ibuprofen,70,N/A,4400,N/A,none,low,n,3,bing|goodrx-catalog,OTC — low cost-anxiety
inflectra-cost-2026,Inflectra Cost in 2026: Infliximab Biosimilar Pricing,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Remicade biosimilar
yuflyma-cost-2026,Yuflyma Cost in 2026: Adalimumab Biosimilar Pricing,80,N/A,210,N/A,none,low,n,3,bing|goodrx-catalog,Humira biosimilar
cyltezo-cost-2026,Cyltezo Cost in 2026: Adalimumab Biosimilar Pricing and Interchangeable Status,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Humira biosimilar — interchangeable status angle
semglee-cost-2026,Semglee Cost in 2026: Insulin Glargine Biosimilar and Mylan Authorized Generic,180,N/A,1900,N/A,already_queued,low,n,3,bing|goodrx-catalog,Lantus biosimilar; overlaps insulin queue
amjevita-cost-2026,Amjevita Cost in 2026: Adalimumab Biosimilar Pricing,90,N/A,260,N/A,none,low,n,3,bing|goodrx-catalog,Humira biosimilar
hyrimoz-cost-2026,Hyrimoz Cost in 2026: Adalimumab Biosimilar Pricing,80,N/A,210,N/A,none,low,n,3,bing|goodrx-catalog,Humira biosimilar
wezlana-cost-2026,Wezlana Cost in 2026: Ustekinumab Biosimilar Pricing,90,N/A,260,N/A,none,low,n,3,bing|goodrx-catalog,Stelara biosimilar — first interchangeable
zoryve-cost-2026,Zoryve Cost in 2026: Roflumilast Topical Psoriasis and Eczema Pricing,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Newer non-steroidal topical
veozah-cost-2026,Veozah Cost in 2026: Fezolinetant Menopause Hot Flash Treatment Pricing,160,N/A,2900,N/A,none,medium,n,2,bing|goodrx-catalog,New menopause drug — news cycle
addyi-cost-2026,Addyi Cost in 2026: Flibanserin HSDD Pricing and Coverage,80,N/A,210,N/A,none,low,n,3,bing|goodrx-catalog,Niche
auvelity-cost-2026,Auvelity Cost in 2026: Dextromethorphan Bupropion Depression Pricing,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,New antidepressant
spravato-cost-2026,Spravato Cost in 2026: Esketamine Treatment-Resistant Depression Pricing,160,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,Niche but high-cost; in-office REMS
emgality-cost-2026,Emgality Cost in 2026: Galcanezumab Migraine Prevention Pricing,180,N/A,2400,N/A,none,medium,n,3,bing|goodrx-catalog,CGRP migraine drug
qulipta-cost-2026,Qulipta Cost in 2026: Atogepant Migraine Prevention Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,CGRP migraine drug
nurtec-cost-2026,Nurtec ODT Cost in 2026: Rimegepant Migraine Treatment Pricing,180,N/A,2900,N/A,none,medium,n,3,bing|goodrx-catalog,CGRP migraine drug — both acute and prevention
ubrelvy-cost-2026,Ubrelvy Cost in 2026: Ubrogepant Acute Migraine Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,Acute migraine CGRP
aimovig-cost-2026,Aimovig Cost in 2026: Erenumab Migraine Prevention Pricing,150,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,CGRP migraine drug
ajovy-cost-2026,Ajovy Cost in 2026: Fremanezumab Migraine Prevention Pricing,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,CGRP migraine drug
caplyta-cost-2026,Caplyta Cost in 2026: Lumateperone Bipolar Depression Pricing,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Atypical antipsychotic
rexulti-cost-2026,Rexulti Cost in 2026: Brexpiprazole Pricing and Alzheimer's Agitation Indication,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,Atypical antipsychotic; newer Alzheimer's agitation use
trintellix-cost-2026,Trintellix Cost in 2026: Vortioxetine Depression Pricing,160,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,Newer SSRI
vraylar-cost-2026,Vraylar Cost in 2026: Cariprazine Pricing and Bipolar Indication,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,Atypical antipsychotic
latuda-cost-2026,Latuda Cost in 2026: Lurasidone Generic Pricing,120,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,Generic available
seroquel-cost-2026,Seroquel Cost in 2026: Quetiapine Generic Pricing,100,N/A,2900,N/A,none,low,n,3,bing|goodrx-catalog,Cheap generic
risperdal-cost-2026,Risperdal Cost in 2026: Risperidone Generic Pricing,90,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,Cheap generic
