topic,title_hint,subtype,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,state_fork,priority,already_queued,sources,competitor_enumeration_source,manual_brainstorm_score
medicaid-eligibility-washington,Do I Qualify for Apple Health (Washington Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"hca.wa.gov,kff",busa-inventory-match,8
medicaid-eligibility-west-virginia,Do I Qualify for West Virginia Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"dhhr.wv.gov,kff",busa-inventory-match,7
medicaid-eligibility-wisconsin,Do I Qualify for Wisconsin BadgerCare Plus in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"dhs.wisconsin.gov,kff",busa-inventory-match,8
medicaid-eligibility-wyoming,Do I Qualify for Wyoming Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"health.wyo.gov,kff",busa-inventory-match,7
chip-eligibility-alabama,Do I Qualify for Alabama CHIP in 2026? Income Limits & Rules,qa-state-eligibility,,,,,slight,low,y,n,2,n,"allkids.dhr.alabama.gov,insurekidsnow",manual-brainstorm,6
chip-eligibility-alaska,Do I Qualify for Alaska CHIP (Denali KidCare) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,slight,low,y,n,2,n,"alaska.gov,insurekidsnow",manual-brainstorm,6
chip-eligibility-arizona,Do I Qualify for Arizona KidsCare CHIP in 2026? Income Limits & Rules,qa-state-eligibility,,,,,slight,low,y,n,2,n,"azahcccs.gov,insurekidsnow",manual-brainstorm,6
chip-eligibility-arkansas,Do I Qualify for Arkansas CHIP (ARKids First) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,slight,low,y,n,2,n,humanservices.arkansas.gov,manual-brainstorm,6
chip-eligibility-california,Do I Qualify for California CHIP (Medi-Cal for Kids) in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,"dhcs.ca.gov,coveredca",manual-brainstorm,7
chip-eligibility-colorado,Do I Qualify for Colorado CHIP (CHP+) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,slight,low,y,n,2,n,hcpf.colorado.gov,manual-brainstorm,6
chip-eligibility-connecticut,Do I Qualify for Connecticut CHIP (HUSKY B) in 2026?,qa-state-eligibility,,,,,slight,low,y,n,2,n,portal.ct.gov/dss,manual-brainstorm,6
chip-eligibility-florida,Do I Qualify for Florida CHIP (Florida KidCare) in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,floridakidcare.org,manual-brainstorm,7
chip-eligibility-georgia,Do I Qualify for Georgia CHIP (PeachCare for Kids) in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,peachcare.org,manual-brainstorm,7
chip-eligibility-new-york,Do I Qualify for NY Child Health Plus in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,health.ny.gov,manual-brainstorm,7
chip-eligibility-texas,Do I Qualify for Texas CHIP in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,2,y,chiptexas.gov,busa-inventory-match,7
medicare-savings-program-alabama,Do I Qualify for Alabama Medicare Savings Programs (QMB/SLMB/QI) in 2026?,qa-state-eligibility,,,,,slight,low,y,n,2,n,"medicaid.alabama.gov,medicare.gov,kff",manual-brainstorm,7
medicare-savings-program-california,Do I Qualify for California Medicare Savings Programs (QMB/SLMB) in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,"dhcs.ca.gov,medicare.gov,kff",manual-brainstorm,8
medicare-savings-program-florida,Do I Qualify for Florida Medicare Savings Programs (QMB/SLMB) in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,"ahca.myflorida.com,medicare.gov,kff",manual-brainstorm,8
medicare-savings-program-new-york,Do I Qualify for New York Medicare Savings Programs (MSP) in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,"health.ny.gov,kff",manual-brainstorm,8
medicare-savings-program-texas,Do I Qualify for Texas Medicare Savings Programs in 2026?,qa-state-eligibility,,,,,slight,medium,y,n,2,n,"hhs.texas.gov,kff",manual-brainstorm,8
medicare-savings-program-all-states,Medicare Savings Programs by State 2026: QMB SLMB QI Income Limits,qa-state-eligibility,,,,,slight,medium,n,n,1,n,"medicare.gov,kff,cms",manual-brainstorm,9
aca-marketplace-subsidy-eligibility-2026,Do I Qualify for ACA Marketplace Subsidies in 2026? Income Limits Explained,qa-state-eligibility,,,,,slight,high,n,n,1,n,"healthcare.gov,kff,cms",manual-brainstorm,10
pregnancy-medicaid-eligibility-all-states,Pregnancy Medicaid Eligibility by State 2026: Income Limits & Coverage,qa-state-eligibility,,,,,slight,medium,n,n,1,n,"medicaid.gov,cms,kff,march-of-dimes",manual-brainstorm,10
medicaid-long-term-care-eligibility,Do I Qualify for Medicaid Long-Term Care in 2026? (Nursing Home + HCBS),qa-state-eligibility,,,,,slight,medium,n,n,1,n,"medicaid.gov,kff,aarp",manual-brainstorm,9
medicaid-spend-down-eligibility,How Does Medicaid Spend-Down Work? (2026 Answer),qa-state-eligibility,,,,,none,low,n,n,2,n,"medicaid.gov,elder-law,kff",manual-brainstorm,7
medicaid-asset-limits-elderly,Medicaid Asset Limits for Seniors 2026: How Much Can I Have?,qa-state-eligibility,,,,,none,medium,y,n,2,n,"medicaid.gov,aarp,kff",manual-brainstorm,8
medicaid-look-back-period,What Is the Medicaid 5-Year Look-Back Period? (2026 Answer),qa-state-eligibility,,,,,none,medium,n,n,2,n,"medicaid.gov,elder-law-answers,aarp",manual-brainstorm,8
can-i-have-medicare-and-medicaid,Can You Have Both Medicare and Medicaid? (Dual Eligibility 2026),qa-state-eligibility,,,,,slight,medium,n,n,1,n,"medicare.gov,medicaid.gov,kff",manual-brainstorm,10
can-i-get-medicaid-with-job,Can You Get Medicaid If You Have a Job? (2026 Answer),qa-state-eligibility,,,,,heavy,medium,n,n,1,y,"medicaid.gov,kff",busa-inventory-match,9
can-i-buy-aca-outside-open-enrollment,Can You Buy ACA Insurance Outside Open Enrollment? (2026 Answer),qa-state-eligibility,,,,,heavy,medium,n,n,1,y,"healthcare.gov,kff",busa-inventory-match,9
can-i-have-aca-and-medicaid,Can You Have Both ACA and Medicaid? (2026 Answer),qa-coverage,,,,,heavy,low,n,n,2,y,"healthcare.gov,medicaid.gov",busa-inventory-match,8
can-i-use-goodrx-with-medicare,Can You Use GoodRx With Medicare? (2026 Answer),qa-coverage,,,,,heavy,medium,n,n,2,y,"goodrx,medicare.gov",busa-inventory-match,8
medicaid-vs-medicare-savings-program,Medicaid vs Medicare Savings Programs: Which Should I Apply For? (2026),qa-state-eligibility,,,,,none,low,n,n,2,n,"medicare.gov,medicaid.gov,kff",manual-brainstorm,7
extra-help-eligibility-2026,Do I Qualify for Medicare Extra Help (LIS) in 2026?,qa-state-eligibility,,,,,none,medium,n,n,1,n,"ssa.gov/medicare/part-d-extra-help,medicare.gov,kff",manual-brainstorm,9
medicare-part-d-eligibility,Who Qualifies for Medicare Part D? (2026 Answer),qa-state-eligibility,,,,,none,medium,n,n,2,n,"medicare.gov,cms,kff",manual-brainstorm,8
catastrophic-health-plan-eligibility,Do I Qualify for a Catastrophic Health Plan? (Under-30 + Hardship 2026),qa-state-eligibility,,,,,none,low,n,n,2,n,"healthcare.gov,kff",manual-brainstorm,7
short-term-health-insurance-eligibility,Can I Get Short-Term Health Insurance? (2026 State Rules),qa-state-eligibility,,,,,none,low,y,n,2,n,"kff,healthcare.gov,naic",manual-brainstorm,7
medicaid-immigrant-eligibility,Can Immigrants Get Medicaid? (2026 Five-Year Bar + State Options),qa-state-eligibility,,,,,slight,medium,y,n,1,n,"medicaid.gov,nilc,kff",manual-brainstorm,9
dental-coverage-by-state-medicaid,Adult Dental Medicaid Coverage by State 2026: Full Comparison,qa-state-eligibility,,,,,slight,medium,n,n,1,n,"medicaid.gov,cms,kff",manual-brainstorm,9
abortion-coverage-medicaid-by-state,Medicaid Abortion Coverage by State 2026: Where It's Covered,qa-state-eligibility,,,,,none,medium,n,n,1,n,"kff,guttmacher",manual-brainstorm,9
gender-affirming-care-medicaid-by-state,Gender-Affirming Care Medicaid Coverage by State 2026,qa-state-eligibility,,,,,none,medium,n,n,1,n,"kff,hrc,movement-advancement-project",manual-brainstorm,9
ivf-coverage-by-state-2026,IVF Insurance Coverage by State 2026: Mandate Map,qa-state-eligibility,,,,,none,medium,n,n,2,n,"resolve.org,naic,kff",manual-brainstorm,8
